name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gw,player_id,first_name,last_name
Aaron Connolly,FWD,Brighton,0.5,0,0,-3,0,0.3,78,7,2,0,3.4,1.2,2020-09-14T19:15:00Z,45,5,0,0,0,0,1,0,32205,3,1,32,1,0,0,0,55,TRUE,0,1,78,Aaron,Connolly
Aaron Cresswell,DEF,West Ham,2.1,0,0,11,0,11.2,435,6,2,0,2.2,10.4,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,70232,2,0,0,1,0,0,0,50,TRUE,0,1,435,Aaron,Cresswell
Aaron Mooy,MID,Brighton,0,0,0,0,0,0,60,7,0,0,0,0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,2010,3,1,0,0,0,0,0,50,TRUE,0,1,60,Aaron,Mooy
Aaron Ramsdale,GK,Sheffield Utd,2.5,0,0,12,0,0,483,8,2,0,1.8,18.2,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,2,462939,2,0,0,1,0,0,0,50,TRUE,0,1,483,Aaron,Ramsdale
Abdoulaye Doucouré,MID,Everton,1.3,0,0,20,1,44.6,512,4,0,0,6.9,20.4,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,143040,1,0,4,3,0,0,0,55,FALSE,0,1,512,Abdoulaye,Doucouré
Aboubakar Kamara,MID,Fulham,0.4,0,0,-2,0,1.8,190,2,3,0,0.2,0,2020-09-12T11:30:00Z,62,1,0,0,0,0,1,0,6711,3,0,5,2,0,0,0,50,TRUE,0,1,190,Aboubakar,Kamara
Adama Traoré,MID,Wolves,2.2,0,0,6,1,1.8,465,8,0,0,3.2,12.8,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,0,1189095,2,0,17,3,0,0,0,65,FALSE,0,1,465,Adama,Traoré
Adam Forshaw,MID,Leeds,0,0,0,0,0,0,199,3,0,0,0,0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,2009,3,4,0,0,0,0,0,50,FALSE,0,1,199,Adam,Forshaw
Adam Lallana,MID,Brighton,1.2,0,0,6,0,27.2,54,7,1,0,3.6,6.8,2020-09-14T19:15:00Z,44,5,0,0,0,0,1,0,78657,3,1,2,1,0,0,0,65,TRUE,0,1,54,Adam,Lallana
Adam Webster,DEF,Brighton,0.6,0,0,14,0,11.8,66,7,3,0,2.8,14.8,2020-09-14T19:15:00Z,90,5,0,0,0,0,1,0,187445,3,1,1,1,0,0,0,45,TRUE,0,1,66,Adam,Webster
Adrien Silva,MID,Leicester,2,0,0,0,0,0,220,5,0,0,0,0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,39204,3,0,0,0,0,0,0,45,FALSE,0,1,220,Adrien,Silva
Adrián San Miguel del Castillo,GK,Liverpool,3.3,0,0,0,0,0,245,3,0,0,0,0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,18419,3,4,0,0,0,0,0,45,TRUE,0,1,245,Adrián,San Miguel del Castillo
Ahmed El-Sayed Hegazy,DEF,West Brom,0.6,0,0,0,0,0,414,5,0,0,0,0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,74895,3,0,0,0,0,0,0,45,TRUE,0,1,414,Ahmed El-Sayed,Hegazy
Ainsley Maitland-Niles,DEF,Arsenal,3.1,0,0,21,1,2.8,15,2,0,0,1.7,10.2,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,112927,3,0,4,6,0,0,0,50,FALSE,0,1,15,Ainsley,Maitland-Niles
Albian Ajeti,FWD,West Ham,0,0,0,0,0,0,447,6,0,0,0,0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,409,2,0,0,0,0,0,0,55,TRUE,0,1,447,Albian,Ajeti
Aleksandar Mitrović,FWD,Fulham,0.8,0,0,3,0,0.3,184,2,0,0,1,3,2020-09-12T11:30:00Z,27,1,0,0,0,0,1,0,1435176,3,0,7,1,0,0,0,60,TRUE,0,1,184,Aleksandar,Mitrović
Alexandre Lacazette,FWD,Arsenal,4,0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,8,0,0,0,0,1,0,196064,3,0,48,7,0,0,0,85,FALSE,0,1,6,Alexandre,Lacazette
Alexis Mac Allister,MID,Brighton,0.8,0,0,0,0,0,80,7,0,0,0,0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,3939,3,1,0,0,0,0,0,55,TRUE,0,1,80,Alexis,Mac Allister
Alex Iwobi,MID,Everton,1.6,0,0,0,0,0,159,4,0,0,0,0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10789,1,0,0,0,0,0,0,60,FALSE,0,1,159,Alex,Iwobi
Alex McCarthy,GK,Southampton,1.8,0,0,17,0,0,363,1,1,0,2.3,22.6,2020-09-12T14:00:00Z,90,6,0,0,0,0,1,2,1400435,0,1,0,2,0,0,0,45,FALSE,0,1,363,Alex,McCarthy
Alex Oxlade-Chamberlain,MID,Liverpool,1.9,0,0,0,0,0,248,3,0,0,0,0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,3207,3,4,0,0,0,0,0,65,TRUE,0,1,248,Alex,Oxlade-Chamberlain
Alfie Mawson,DEF,Fulham,0,0,0,0,0,0,185,2,0,0,0,0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,1789,3,0,0,0,0,0,0,45,TRUE,0,1,185,Alfie,Mawson
Alireza Jahanbakhsh,MID,Brighton,0.8,0,0,3,0,0.7,71,7,0,0,0.5,4.4,2020-09-14T19:15:00Z,11,5,0,0,0,0,1,0,3104,3,1,0,1,0,0,0,55,TRUE,0,1,71,Alireza,Jahanbakhsh
Alisson Ramses Becker,GK,Liverpool,5.5,0,0,9,0,0,252,3,3,0,0.4,3.8,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,721549,3,4,0,1,0,0,0,60,TRUE,0,1,252,Alisson,Ramses Becker
Allan Marques Loureiro,MID,Everton,1.3,0,0,16,1,3.4,502,4,0,0,2.1,18,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,75335,1,0,0,3,0,0,0,55,FALSE,0,1,502,Allan,Marques Loureiro
Allan Saint-Maximin,MID,Newcastle,1.8,0,0,7,1,2.8,338,6,0,0,1.2,3.8,2020-09-12T19:00:00Z,74,19,0,0,0,0,1,0,1361562,2,0,5,3,0,0,0,55,FALSE,0,1,338,Allan,Saint-Maximin
Alphonse Areola,GK,Fulham,0.8,0,0,0,0,0,516,2,0,0,0,0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,71203,3,0,0,0,0,0,0,45,TRUE,0,1,516,Alphonse,Areola
Andreas Christensen,DEF,Chelsea,3.1,0,0,14,0,0.7,116,7,1,0,2.1,17.8,2020-09-14T19:15:00Z,90,3,0,0,0,0,1,0,17362,3,1,2,2,0,0,0,50,FALSE,0,1,116,Andreas,Christensen
Andrew Robertson,DEF,Liverpool,5.1,1,0,20,0,19.6,255,3,3,0,4.7,23.4,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,766431,3,4,4,4,0,0,0,70,TRUE,0,1,255,Andrew,Robertson
Andriy Yarmolenko,MID,West Ham,2.1,0,0,-1,0,1.6,436,6,1,0,3,2.8,2020-09-12T19:00:00Z,23,14,0,0,0,0,1,0,14140,2,0,26,0,0,0,0,60,TRUE,1,1,436,Andriy,Yarmolenko
Andros Townsend,MID,Crystal Palace,2.1,1,2,26,1,33.7,137,1,0,0,6.4,28.4,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,0,16534,0,1,2,8,0,0,0,60,TRUE,0,1,137,Andros,Townsend
André Filipe Tavares Gomes,MID,Everton,1.3,0,0,11,1,3.3,158,4,0,0,2.7,3.8,2020-09-13T15:30:00Z,67,17,0,0,0,0,1,0,21001,1,0,20,3,0,0,0,55,FALSE,0,1,158,André Filipe,Tavares Gomes
André-Frank Zambo Anguissa,MID,Fulham,0,0,0,4,0,11.8,191,2,0,0,2.6,14.4,2020-09-12T11:30:00Z,27,1,0,0,0,0,1,0,50068,3,0,0,1,0,0,0,45,TRUE,0,1,191,André-Frank,Zambo Anguissa
Andy Carroll,FWD,Newcastle,1.5,0,0,3,1,14,320,6,0,0,6.9,7,2020-09-12T19:00:00Z,87,19,0,0,0,0,1,0,21822,2,0,48,2,0,0,0,55,FALSE,0,1,320,Andy,Carroll
Angelo Ogbonna,DEF,West Ham,2.1,0,0,14,0,1.1,432,6,2,0,3.7,30,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,25125,2,0,6,1,0,0,0,50,TRUE,0,1,432,Angelo,Ogbonna
Angus Gunn,GK,Southampton,1.8,0,0,0,0,0,371,1,0,0,0,0,2020-09-12T14:00:00Z,0,6,0,0,0,0,1,0,19987,0,1,0,0,0,0,0,45,FALSE,0,1,371,Angus,Gunn
Anthony Gordon,MID,Everton,0.5,0,0,0,0,0,168,4,0,0,0,0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,49378,1,0,0,0,0,0,0,45,FALSE,0,1,168,Anthony,Gordon
Anthony Knockaert,MID,Fulham,0.8,0,0,0,0,0,177,2,0,0,0,0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,12640,3,0,0,0,0,0,0,55,TRUE,0,1,177,Anthony,Knockaert
Antonee Robinson,DEF,Fulham,0.6,0,0,0,0,0,484,2,0,0,0,0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,7957,3,0,0,0,0,0,0,45,TRUE,0,1,484,Antonee,Robinson
Antonio Rüdiger,DEF,Chelsea,3.1,0,0,0,0,0,109,7,0,0,0,0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,133067,3,1,0,0,0,0,0,50,FALSE,0,1,109,Antonio,Rüdiger
Arthur Masuaku,DEF,West Ham,1.6,0,0,0,0,0,442,6,0,0,0,0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,15272,2,0,0,0,0,0,0,45,TRUE,0,1,442,Arthur,Masuaku
Ayoze Pérez,MID,Leicester,3.2,0,0,5,1,2.5,229,5,0,0,2.7,0,2020-09-13T13:00:00Z,66,18,0,0,0,0,1,0,215629,3,0,24,3,0,0,0,65,FALSE,0,1,229,Ayoze,Pérez
Bamidele Alli,MID,Spurs,3.2,0,0,3,0,11.9,394,4,0,0,4.1,8.4,2020-09-13T15:30:00Z,45,7,0,0,0,0,1,0,237638,1,0,21,1,0,0,0,80,TRUE,0,1,394,Bamidele,Alli
Barry Douglas,DEF,Leeds,-0.5,0,0,0,0,0,196,3,0,0,0,0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,920095,3,4,0,0,0,0,0,40,FALSE,0,1,196,Barry,Douglas
Benjamin Chilwell,DEF,Chelsea,0,0,0,0,0,0,232,7,0,0,0,0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,72270,3,1,0,0,0,0,0,55,FALSE,0,1,232,Benjamin,Chilwell
Ben Davies,DEF,Spurs,2.6,0,0,15,0,35.5,395,4,1,0,9.2,20.2,2020-09-13T15:30:00Z,90,7,0,0,0,0,1,0,155868,1,0,36,2,0,0,0,50,TRUE,0,1,653,Ben,Davies
Ben Johnson,DEF,West Ham,1,0,0,0,0,0,452,6,0,0,0,0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,161367,2,0,0,0,0,0,0,40,TRUE,0,1,452,Ben,Johnson
Ben Osborn,MID,Sheffield Utd,1.4,0,0,0,0,0,356,8,0,0,0,0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,2316,2,0,0,0,0,0,0,50,TRUE,0,1,356,Ben,Osborn
Ben White,DEF,Brighton,0.6,0,0,16,0,0.8,74,7,3,0,1.5,14.2,2020-09-14T19:15:00Z,78,5,0,0,0,0,1,0,103827,3,1,0,1,0,0,0,45,TRUE,0,1,74,Ben,White
Bernardo Fernandes da Silva Junior,DEF,Brighton,0,0,0,0,0,0,75,7,0,0,0,0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,824870,3,1,0,0,0,0,0,40,TRUE,0,1,75,Bernardo,Fernandes da Silva Junior
Bernard Anício Caldeira Duarte,MID,Everton,1.6,0,0,0,0,0,154,4,0,0,0,0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10689,1,0,0,0,0,0,0,60,FALSE,0,1,154,Bernard,Anício Caldeira Duarte
Bernd Leno,GK,Arsenal,3.5,0,1,29,1,0,8,2,0,0,1.4,14,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,2,400285,3,0,0,7,0,0,0,50,FALSE,0,1,8,Bernd,Leno
Billy Gilmour,MID,Chelsea,0,0,0,0,0,0,124,7,0,0,0,0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,10890,3,1,0,0,0,0,0,45,FALSE,0,1,124,Billy,Gilmour
Billy Sharp,FWD,Sheffield Utd,1.8,0,0,-4,0,3,343,8,2,0,2.7,1.4,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,0,17568,2,0,23,2,0,0,0,60,TRUE,0,1,343,Billy,Sharp
Bobby Decordova-Reid,FWD,Fulham,0.5,0,0,4,0,0.4,181,2,0,0,0.2,0,2020-09-12T11:30:00Z,15,1,0,0,0,0,1,0,8412,3,0,2,1,0,0,0,55,TRUE,0,1,181,Bobby,Decordova-Reid
Brandon Pierrick,MID,Crystal Palace,1,0,0,0,0,0,147,1,0,0,0,0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,6682,0,1,0,0,0,0,0,45,TRUE,0,1,147,Brandon,Pierrick
Bruno André Cavaco Jordao,MID,Wolves,1,0,0,0,0,0,475,8,0,0,0,0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,35928,2,0,0,0,0,0,0,45,FALSE,0,1,475,Bruno André,Cavaco Jordao
Bukayo Saka,MID,Arsenal,2.8,0,0,0,0,0,24,2,0,0,0,0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,491508,3,0,0,0,0,0,0,55,FALSE,0,1,24,Bukayo,Saka
Callum Hudson-Odoi,MID,Chelsea,3.1,0,0,3,0,1.3,122,7,0,0,0.2,0.8,2020-09-14T19:15:00Z,10,3,0,0,0,0,1,0,28187,3,1,0,1,0,0,0,60,FALSE,0,1,122,Callum,Hudson-Odoi
Callum Robinson,FWD,West Brom,0.5,0,0,-3,0,1.3,358,5,1,0,0.1,0,2020-09-13T13:00:00Z,59,9,0,0,0,0,1,0,13584,3,0,2,1,0,0,0,55,TRUE,0,1,358,Callum,Robinson
Callum Wilson,FWD,Newcastle,2.1,0,2,32,1,23.3,506,6,0,1,10.5,32,2020-09-12T19:00:00Z,84,19,0,0,0,0,1,0,538610,2,0,50,8,0,0,0,65,FALSE,0,1,506,Callum,Wilson
Calum Chambers,DEF,Arsenal,0,0,0,0,0,0,13,2,0,0,0,0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,1043,3,0,0,0,0,0,0,45,FALSE,0,1,13,Calum,Chambers
Cameron Carter-Vickers,DEF,Spurs,1.5,0,0,0,0,0,521,4,0,0,0,0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,14540,1,0,0,0,0,0,0,40,TRUE,0,1,521,Cameron,Carter-Vickers
Cedric Kipre,DEF,West Brom,0.6,0,0,0,0,0,499,5,0,0,0,0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,4451,3,0,0,0,0,0,0,45,TRUE,0,1,499,Cedric,Kipre
Cenk Tosun,FWD,Everton,0,0,0,0,0,0,153,4,0,0,0,0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,444,1,0,0,0,0,0,0,60,FALSE,0,1,153,Cenk,Tosun
Charlie Austin,FWD,West Brom,0.5,0,0,0,0,0,415,5,0,0,0,0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,60979,3,0,0,0,0,0,0,55,TRUE,0,1,415,Charlie,Austin
Cheikhou Kouyaté,MID,Crystal Palace,1.4,0,0,3,1,0.3,133,1,0,0,3,12.6,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,0,14565,0,1,17,3,0,0,0,50,TRUE,0,1,133,Cheikhou,Kouyaté
Che Adams,FWD,Southampton,1.8,0,0,3,0,13.1,377,1,1,0,3.9,4.4,2020-09-12T14:00:00Z,84,6,0,0,0,0,1,0,279992,0,1,21,2,0,0,0,60,FALSE,0,1,377,Che,Adams
Christian Atsu,MID,Newcastle,1.8,0,0,0,0,0,330,6,0,0,0,0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,5623,2,0,0,0,0,0,0,55,FALSE,0,1,330,Christian,Atsu
Christian Benteke,FWD,Crystal Palace,0,0,0,0,0,0,132,1,0,0,0,0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,15812,0,1,0,0,0,0,0,55,TRUE,0,1,132,Christian,Benteke
