Data Set,Field,Name,Description,Type,Format
player,web_name,Name,Simplified unique name of the player,str,
player,current_cost,Current Cost,Current cost of the player,float,£{:.1f}m
player,now_cost,Current Cost x10,Current cost of the player times 10,float,£{:.1f}m
,,Fixture Cost,Cost of the player at the time of the fixture.,float,£{:.1f}m
,,Game Cost,Cost of the player at the time of the fixture.,float,£{:.1f}m
,,Fixtures Ago,"How many fixtures ago from now a fixture was for each player. The last fixture is 1, the one before is 2, etc.",int,{:.0f}
player,field_pos,Field Position,"Position of the player. Either GK, DEF, MID, FWD.",str,
player,total_points,Total Points,Total number of points this season,int,{:.0f} pts
player,selected,Selected?,Is the player in the user's team?,bool,{:}
player,is_captain,Captain?,Is the player selected to be the captain?,bool,{:}
player,is_vice_captain,Vice Captain?,Is the player selected to be the vice captain?,bool,{:}
player,points_per_cost,Points Per Cost,Total number of points divided by the player cost. This is can be an indicator for whether the player is undervalued or overpriced.,float,{:.1f}
player,minutes_percent,Minutes Percent,Percent of total number of minutes played this season compared to maximum played by any player,float,{:.0f}%
player,minutes,Minutes Played,Number of minutes the player has played this season,int,{:.0f} min
player,selected_by_percent,Percent Selected,Percentage of participants who currently have the player in their team,float,{:.1f}%
,,Fixture Percent Selected,Percentage of participants who select the player for this fixture,float,{:.1f}%
player,news_and_date,News And Date,News about the players and the date when it was added,str,
player,news,News,News about the players,str,
player,news_added,News Date,Date when news of the player was last updated,datetime64,
player,team,Player Team ID,ID of the team that the player is in that is unique across seasons,int,
player,team_code,Player Team Code,ID of the team that the player is in,int,
player,first_name,First Name,First name of the player,str,
player,second_name,Last Name,Last name of the player,str,
player,code,Player Code,ID of the player that is unique across seasons,int,{:.1f}
player,,Long Name,First and last name of the player,str,
player,,Name and Short Team,Name of the player and the short name of his team,str,
player,chance_of_playing_this_round,Chance Avail This GW,Probability of the player will be available for playing the next game,float,{:.0f}%
player,chance_of_playing_next_round,Chance Avail Next GW,Probability of the player will be available for playing the game after next,float,{:.0f}%
team,id,Team ID,ID of the team for this season.,int,{:.1f}
team,code,Team Code,ID of the team that is unique across seasons,int,{:.1f}
team,short_name,Team Short Name,Short name of the team,str,
team,name,Team Name,Name of the team,str,
team,strength,Team Strength,Rating of the team's strength on a scale from 2 to 5,int,{:.1f}
,,Team Short Name Home,Team short name playing at home,str,
,,Team Name Home,Team name playing at home,str,
,,Team Short Name Away,Team short name playing at away,str,
,,Team Name Away,Team name playing at away,str,
,,Team Last Updated,The date/time when the data for this team was last loaded from the FPL API.,datetime64,
fixture,code,Fixture Code,ID of the fixture that is unique across seasons,int,{:.1f}
fixture,,Fixture Strength Home,Strength of the home team for a specific fixture,int,{:.0f}
fixture,,Fixture Strength Away,Strength of the away team for a specific fixture,int,{:.0f}
fixture,,Rel. Fixture Strength,Strength of this team relative to the opponent team for a specific fixture,float,{:.2f}
fixture,,Rel. Fixture Strength Home,Strength of the home team relative to the away team for a specific fixture,float,{:.2f}
fixture,,Rel. Fixture Strength Away,Strength of the away team relative to the home team for a specific fixture,float,{:.2f}
fixture,,Rel. Fixture Strength Finished GWs,Average relative strengths of all completed fixtures (higher values indicate lower difficulty),float,{:.2f}
fixture,,Rel. Fixture Strength Next GW,Average relative strengths of the next fixture (higher values indicate lower difficulty),float,{:.2f}
fixture,,Rel. Fixture Strength Next 8 GWs,Average relative strengths of the next five fixtures (higher values indicate lower difficulty),float,{:.2f}
fixture,,Rel. Fixture Strength GWs To Half,Average relative strengths of all fixtures left up to half of the season or the end of the season if the second half has started (higher values indicate lower difficulty),float,{:.2f}
fixture,,Rel. Fixture Strength GWs To End,Average relative strengths of all fixtures left for the season (higher values indicate lower difficulty),float,{:.2f}
fixture,,Is Home?,Whether the team is playing at home or not,bool,{:}
fixture,,Opp Team ID,ID of the opposing team,int,{:.0f}
fixture,,Fixture Short Name,"Short names of teams, e.g. ARS-BUR",str,
fixture,,Fixture Short Name FDR,"Short names of teams with difficulty score, e.g. ARS-BUR (2)",str,
fixture,,Rel Fixture Strength,Relative strength of this fixture compared to previous ones. This generally a factor between 0.5 and 2. A factor below 1 indicates that this fixture is more difficult than the previous ones.,float,{:.1f}
,,Next GW,Number of fixtures to the next game week for a specifc team. This is 1 except after the last game week. Note that there occasionally can be two fixtures in one game week.,int,
,,Next 8 GWs,Number of fixtures to next five game weeks for a specific team. This is the minimum of 5 and the number of the game weeks left for the current season. Note that there occassionally can be two fixtures in one game week.,int,
,,GWs To Half,Number of fixtures to the end of the current half of the season for a specific team. Note that there occasionally can be two fixtures in one game week.,int,
,,GWs To End,Number of fixtures to the end of the season for a specific team. Note that there occasionally can be two fixtures in one game week.,int,
,,Total Points Consistency,Consistency of the total point for the player up to the current GW. It is calculated as the average of the points relative to the maximum points and expressed as a percentage so that complete consistency results in 100%.,int,{:.0f}%
,,Current Points Consistency,Consistency of the total point for the player up to the current GW. It is calculated as the average of the points relative to the maximum points and expressed as a percentage so that complete consistency results in 100%.,int,{:.0f}%
,,Total Points Recent Fixtures,Total number of points that this player earned during the look back period.,int,{:.0f}
,,ICT Index Recent Fixtures,"Sum of all influence, creativity and thread index scores that this player earned during the look back period.",float,{:.1f}
,,Influence Recent Fixtures,Sum of all influence points that this player earned during the look back period.,float,{:.1f}
,,Creativity Recent Fixtures,Sum of all creativity points that this player earned during the look back period.,float,{:.1f}
,,Threat Recent Fixtures,Sum of all thread points that this player earned during the look back period.,float,{:.1f}
,,Fixtures Played Recent Fixtures,Number of fixtures that this player played during the look back period.. A fixture counts as played if the player played for at least one minute.,int,{:.0f}
,,Stats Completeness,Fraction of available fixture information over the player fixture look back window.,str,
,,Stats Completeness Percent,Percentage of available fixture information over the player fixture look back window.,float,{:.0f}%
player,selling_price,Selling Price,Money received when selling player,float,£{:.1f}m
player,purchase_price,Purchase Price,Money spent when buying player,float,£{:.1f}m
player,transfers_in_event,Transfers In This GW,Total number of participants buying the player for the upcoming game week. This is the transfer number displayed on the home page in the transfers section.,int,{:.0f}
player,transfers_in,Total Transfers In,Number of manager that transferred the player in since the beginning of the season.,int,{:.0f}
player,transfers_out_event,Transfers Out This GW,Total number of participants selling the player for the upcoming game week. This is the transfer number displayed on the home page in the transfers section.,int,{:.0f}
player,transfers_out,Total Transfers Out,Number of manager that transferred the player out since the beginning of the season.,int,{:.0f}
player,corners_and_indirect_freekicks_order,Corners & Ind. Free Kicks Order,Rank of the player within his team for taking corner and indirect free kicks.,int,{:.0f}
player,direct_freekicks_order,Direct Free Kicks Order,Rank of the player within his team for taking direct free kicks.,int,{:.0f}
player,penalties_order,Penalties Order,Rank of the player within his team for taking penalties.,int,{:.0f}
player,dreamteam_count,Dream Team Count,Number of time the player has been in the dream team this season.,int,{:.0f}
player,in_dreamteam,In Dream Team,Is the player currently in the Dream Team?,bool,{:}
player,form,Form,Average points the player received for each fixture played in the last 30 days.,float,{:.1f}
player,photo,Profile Picture,Name of the player profile picture.,str,
player,goals_scored,Goals Scored,Number of goals scored by the player since the beginning of the season.,int,{:.0f}
player,assists,Assists,Number of assists to goals by the player since the beginning of the season.,int,{:.0f}
player,clean_sheets,Clean Sheets,"Number of clean sheets that the player was awarded since the beginning of the season. Note that if a player does not play during a fixture with a clean sheet, the clean sheet count for this player will not increase.",int,{:.0f}
player,goals_conceded,Goals Conceded,Number of goals conceded while the player was playing since the beginning of the season.,int,{:.0f}
player,own_goals,Own Goals,Number of own goals scored by the player since the beginning of the season.,int,{:.0f}
player,"penalties_saved	",Penalties Saved,Number of penalties saved by the player since the beginning of the season.,int,{:.0f}
player,penalties_missed,Penalties Missed,Number of penalties missed by the player since the beginning of the season.,int,{:.0f}
player,yellow_cards,Yellow Cards,Number of yellow cards received by the player since the beginning of the season.,int,{:.0f}
player,red_cards,Red Cards,Number of red cards received by the player since the beginning of the season.,int,{:.0f}
player,saves,Saves,Number of saves the player has made since the beginning of the season.,int,{:.0f}
player,bonus,Bonus Points,Number of bonus points the player has earned since the beginning of the season.,int,{:.0f}
player,bps,BPS Score,Score of the player since the beginning of the season according to the Bonus Point System (see https://www.premierleague.com/news/106533).,int,{:.0f}
player,ict_index,ICT Index,"ICT Index as calculated by FPL based on the Influence, Creativity and Threat.",float,{:.1f}
